date,close
20140102,0.04017371
20140103,0.020351699
20140104,0.049821673
20140105,0.086118835
20140106,0.021166968
20140107,-0.158703018
20140108,0.050773067
20140109,0.004912664
20140110,0.025529603
20140111,0.05235584
20140112,-0.055506319
20140113,-0.02550914
20140114,-0.009427009
20140115,0.03315852
20140116,-0.029353003
20140117,-0.025118773
20140118,0.031130315
20140119,0.036857143
20140120,-0.0008726
20140121,-0.007228223
20140122,-0.021205913
20140123,-0.027850377
20140124,-0.030375651
20140125,0.070934799
20140126,0.037101252
20140127,-0.128648563
20140128,0.053306369
20140129,0.016602873
20140130,-0.008438257
20140131,0.013296216
20140201,0.003205128
20140202,-0.008659828
20140203,-0.00186583
20140204,0.00501317
20140205,-0.019384994
20140206,-0.037393307
20140207,-0.088478024
20140208,-0.054014599
20140209,0.013325024
20140210,-0.002738322
20140211,-0.013009706
20140212,-0.030423851
20140213,-0.071318971
20140214,0.093764457
20140215,-0.016722307
20140216,-0.052679285
20140217,0.015633362
20140218,0.000526929
20140219,-0.005697415
20140220,-0.107362406
20140221,0.032401913
20140222,0.054444754
20140223,0.000660698
20140224,-0.098213991
20140225,-0.013929565
20140226,0.081639472
20140227,-0.006727419
20140228,-0.050987439
20140301,0.029767323
20140302,-0.010289776
20140303,0.1928759
20140304,-0.001467593
20140305,-0.001904676
20140306,-0.002479302
20140307,-0.05228512
20140308,-0.018596519
20140309,0.0315977
20140310,-0.014396508
20140311,0.010067061
20140312,-0.003169797
20140313,0.00955545
20140314,-0.014636287
20140315,0.011641221
20140316,-0.007875872
20140317,-0.013848616
20140318,-0.01211498
20140319,-0.008034741
20140320,-0.034629195
20140321,-0.029349321
20140322,-0.011286287
20140323,-0.006672094
20140324,0.039446256
20140325,0.000874171
20140326,-0.005291821
20140327,-0.188678271
20140328,0.051841949
20140329,-0.009078621
20140330,-0.062911008
20140331,-0.007104526
20140401,0.04678337
20140402,-0.086207617
20140403,0.017339983
20140404,0.006318582
20140405,0.032131924
20140406,-0.003052543
20140407,-0.024060803
20140408,0.008166081
20140409,-0.022865214
20140410,-0.175163192
20140411,0.152719207
20140412,0.000403848
20140413,-0.016764818
20140414,0.108027822
20140415,0.123803919
20140416,0.022886402
20140417,-0.059595366
20140418,-0.03290588
20140419,0.045700942
20140420,-0.006758912
20140421,-0.004817633
20140422,-0.015833955
20140423,0.006927365
20140424,0.018644413
20140425,-0.077948288
20140426,-0.006176184
20140427,-0.048430004
20140428,0.00893696
20140429,0.015716914
20140430,0.000961517
20140501,0.022607452
20140502,-0.018306536
20140503,-0.025857849
20140504,-0.003106725
20140505,-0.006691109
20140506,-0.01042724
20140507,0.022985826
20140508,0.003076432
20140509,0.021105482
20140510,0.011057714
20140511,-0.034196686
20140512,0.005855681
20140513,-0.001789517
20140514,0.007488597
20140515,0.007387887
20140516,0.001811068
20140517,0.001874749
20140518,-0.005881043
20140519,-0.000179268
20140520,0.088618943
20140521,0.012455736
20140522,0.066718181
20140523,-0.008311411
20140524,0.009457537
20140525,0.088452603
20140526,0.020696653
20140527,-0.020876898
20140528,0.010188362
20140529,-0.015388348
20140530,0.082984266
20140531,0.013569954
20140601,0.010502181
20140602,0.048220491
20140603,0.010580969
20140604,-0.038944893
20140605,0.027508923
20140606,-0.008433698
20140607,0.001942787
20140608,0.001786341
20140609,-0.010637974
20140610,0.006146405
20140611,-0.030819873
20140612,-0.072778111
20140613,0.022506176
20140614,-0.037989869
20140615,0.026984897
20140616,-0.001264883
20140617,0.031527044
20140618,-0.004747405
20140619,-0.016267518
20140620,-0.006554417
20140621,0.001413784
20140622,0.0122355
20140623,-0.013764591
20140624,-0.019562948
20140625,-0.027508757
